Date,Close/Last,Volume,Open,High,Low
01/14/2021,$60.1769,7401183,$59.9189,$60.5382,$59.764
01/13/2021,$59.7124,6714195,$60.7962,$61.0027,$59.4544
01/12/2021,$60.7962,11429911,$59.4028,$61.4672,$58.8867
01/11/2021,$59.0931,8424610,$57.3384,$59.506,$57.0803
01/08/2021,$58.5254,9089961,$58.2674,$59.0415,$57.5964
01/07/2021,$58.1641,9411225,$59.6608,$59.7124,$58.0093
01/06/2021,$58.6286,16448075,$55.8933,$59.9705,$55.8933
01/05/2021,$55.5836,10462538,$53.8289,$56.1514,$53.7773
01/04/2021,$54.0354,9993686,$56.203,$56.2546,$53.6741
12/31/2020,$55.7385,5962791,$54.9643,$55.8933,$54.6031
12/30/2020,$55.274,6327625,$54.6031,$55.9707,$54.4482
12/29/2020,$54.4998,6629490,$55.0159,$55.5836,$54.3966
12/28/2020,$54.9127,6724585,$55.2224,$55.6353,$54.6031
12/24/2020,$54.9643,3756208,$55.9965,$55.9965,$54.8095
12/23/2020,$56.0481,7563066,$55.1192,$56.6674,$54.8095
12/22/2020,$54.7579,11140545,$55.274,$55.532,$54.1386
12/21/2020,$55.5836,10727340,$54.0354,$56.0997,$53.4676
12/18/2020,$55.7901,14344200,$55.6353,$57.39,$55.4288
12/17/2020,$56.1514,7805748,$56.461,$56.7191,$55.7385
12/16/2020,$56.4094,7351979,$57.4416,$57.5448,$56.2546
12/15/2020,$57.3384,10843219,$56.5023,$57.5448,$54.9643
12/14/2020,$55.8933,9914686,$58.1641,$58.577,$55.6869
12/11/2020,$57.5964,11122514,$58.2157,$58.8867,$56.8739
12/10/2020,$58.4222,11958954,$57.1835,$59.2479,$57.0803
12/09/2020,$58.7834,15766938,$56.7707,$59.2995,$56.7707
12/08/2020,$56.5642,11672290,$55.8417,$56.9255,$55.6869
12/07/2020,$56.0481,12175496,$56.203,$57.2868,$55.532
12/04/2020,$56.1514,16877613,$55.0675,$56.4094,$54.2418
12/03/2020,$54.7063,11431610,$53.6741,$55.2224,$53.6225
